# Annotated with Bakta
# Software: v1.11.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	1	1395	+	EGDEDF_00001	dnaA	chromosomal replication initiator protein DnaA	COG:COG0593, COG:L, EC:3.6.4.-, GO:0003677, GO:0003688, GO:0005524, GO:0005737, GO:0005886, GO:0006270, GO:0006275, GO:0016887, KEGG:K02313, SO:0001217, UniRef:UniRef50_P03004, UniRef:UniRef90_P03004
contig_1	ncRNA	502	582	-	EGDEDF_00002	asdA	antisense RNA of dnaA mRNA	RFAM:RF02674, SO:0000644
contig_1	cds	1400	2500	+	EGDEDF_00003	dnaN	DNA polymerase III subunit beta	COG:COG0592, COG:L, EC:2.7.7.7, GO:0003677, GO:0003887, GO:0006260, GO:0009360, SO:0001217, UniRef:UniRef50_Q9KVX5, UniRef:UniRef90_Q6CYR5
contig_1	cds	2662	3747	+	EGDEDF_00004	recF	DNA replication/repair protein RecF	COG:COG1195, COG:L, GO:0000731, GO:0003697, GO:0005524, GO:0005737, GO:0006260, GO:0006281, GO:0006302, GO:0006310, GO:0009432, RefSeq:WP_004933895.1, SO:0001217, UniParc:UPI0002AF21B8, UniRef:UniRef100_A0A0G8B3P0, UniRef:UniRef50_P0A7H0, UniRef:UniRef90_Q8Z9U9
contig_1	cds	3766	6180	+	EGDEDF_00005	gyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	COG:COG0187, COG:L, EC:5.6.2.2, GO:0003677, GO:0003918, GO:0005524, GO:0005694, GO:0006265, KEGG:K02470, RefSeq:WP_016929599.1, SO:0001217, UniParc:UPI000379B73B, UniRef:UniRef100_A0A5F0Z7H5, UniRef:UniRef50_Q89B37, UniRef:UniRef90_A1JT76
contig_1	cds	6306	7121	+	EGDEDF_00006	yidA	sugar-phosphatase	COG:COG0561, COG:HR, EC:3.1.3.104, EC:3.1.3.23, GO:0016787, KEGG:K21064, RefSeq:WP_016929598.1, SO:0001217, UniParc:UPI0002D9C073, UniRef:UniRef100_W9GT84, UniRef:UniRef50_C9Y3Y9, UniRef:UniRef90_A0A240A5B8
contig_1	cds	7147	8088	-	EGDEDF_00007	oCDMu	ornithine cyclodeaminase family protein	COG:COG2423, COG:E, SO:0001217, UniRef:UniRef50_A0A383S0P4, UniRef:UniRef90_A0AA45BJU1
contig_1	cds	8075	9043	-	EGDEDF_00008	ilvA	threonine/serine dehydratase	COG:COG1171, COG:E, RefSeq:WP_197755614.1, SO:0001217, UniParc:UPI0018D9D8EE, UniRef:UniRef100_UPI0018D9D8EE, UniRef:UniRef50_A0A083ZZ18, UniRef:UniRef90_A0A5F0Z8A3
contig_1	cds	9533	10813	+	EGDEDF_00009	tolB	Biopolymer transporter Tol	COG:COG0823, COG:U, SO:0001217, UniRef:UniRef50_P31455, UniRef:UniRef90_A0A1Q4NYV7
contig_1	cds	10844	11191	-	EGDEDF_00010	yceK	YceK/YidQ family lipoprotein	COG:COG5645, COG:S, RefSeq:WP_033631396.1, SO:0001217, UniParc:UPI0004E4154B, UniRef:UniRef100_A0A349ZKW4, UniRef:UniRef50_A0A2L1UUF4, UniRef:UniRef90_A0A1Q4NYU1
