# Annotated with Bakta
# Software: v1.11.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	1	1392	+	KEBBGD_00001	dnaA	chromosomal replication initiator protein DnaA	COG:COG0593, COG:L, EC:3.6.4.-, GO:0003677, GO:0003688, GO:0005524, GO:0005737, GO:0005886, GO:0006270, GO:0006275, GO:0016887, KEGG:K02313, SO:0001217, UniRef:UniRef50_P03004, UniRef:UniRef90_P03004
contig_1	ncRNA	499	579	-	KEBBGD_00002	asdA	antisense RNA of dnaA mRNA	RFAM:RF02674, SO:0000644
contig_1	cds	1397	2497	+	KEBBGD_00003	dnaN	DNA polymerase III subunit beta	COG:COG0592, COG:L, EC:2.7.7.7, GO:0003677, GO:0003887, GO:0006260, GO:0009360, KEGG:K02338, RefSeq:WP_037421192.1, SO:0001217, UniParc:UPI0004E619FF, UniRef:UniRef100_A0A7G2JF17, UniRef:UniRef50_Q9I7C4, UniRef:UniRef90_A0A084A2F7
contig_1	cds	2659	3744	+	KEBBGD_00004	recF	DNA replication/repair protein RecF	COG:COG1195, COG:L, GO:0000731, GO:0003697, GO:0005524, GO:0005737, GO:0006260, GO:0006281, GO:0006302, GO:0006310, GO:0009432, RefSeq:WP_061808236.1, SO:0001217, UniParc:UPI00077CBE28, UniRef:UniRef100_UPI00077CBE28, UniRef:UniRef50_P0A7H0, UniRef:UniRef90_Q8Z9U9
contig_1	cds	3763	6177	+	KEBBGD_00005	gyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	COG:COG0187, COG:L, EC:5.6.2.2, GO:0003677, GO:0003918, GO:0005524, GO:0005694, GO:0006265, KEGG:K02470, RefSeq:WP_037421188.1, SO:0001217, UniParc:UPI0004E6AC0A, UniRef:UniRef100_A0A7G2JI88, UniRef:UniRef50_Q89B37, UniRef:UniRef90_A1JT76
contig_1	cds	6300	7115	+	KEBBGD_00006	yidA	sugar-phosphatase	EC:3.1.3.104, EC:3.1.3.23, GO:0016787, KEGG:K21064, SO:0001217, UniRef:UniRef50_C9Y3Y9, UniRef:UniRef90_UPI002982135F
contig_1	cds	7161	8102	-	KEBBGD_00007		ornithine cyclodeaminase family protein	SO:0001217, UniRef:UniRef50_A0A383S0P4, UniRef:UniRef90_A0A9C7QV28
contig_1	cds	8089	9057	-	KEBBGD_00008		threonine/serine dehydratase	SO:0001217, UniRef:UniRef50_A0A083ZZ18, UniRef:UniRef90_UPI00217A032D
contig_1	cds	9228	10508	+	KEBBGD_00009		DUF3748 domain-containing protein	SO:0001217, UniRef:UniRef50_P31455, UniRef:UniRef90_A8G7R6
contig_1	cds	10542	11075	-	KEBBGD_00010		putative periplasmic lipoprotein	SO:0001217, UniRef:UniRef50_D4DZM9, UniRef:UniRef90_A0A379ZGB9
contig_1	cds	11191	11604	+	KEBBGD_00011	ibpA	small heat shock chaperone IbpA	COG:COG0071, COG:O, GO:0005737, GO:0006950, GO:0050821, GO:0051082, KEGG:K04080, RefSeq:WP_037421174.1, SO:0001217, UniParc:UPI0004E61E0C, UniRef:UniRef100_UPI0004E61E0C, UniRef:UniRef50_Q8Z9V5, UniRef:UniRef90_A8G7R8
contig_1	cds	11837	12265	+	KEBBGD_00012	ibpB	small heat shock chaperone IbpB	COG:COG0071, COG:O, GO:0005737, GO:0006950, GO:0050821, GO:0051082, RefSeq:WP_037421171.1, SO:0001217, UniParc:UPI0004E745C5, UniRef:UniRef100_A0A7G2JF20, UniRef:UniRef50_A8G7R9, UniRef:UniRef90_A8G7R9
contig_1	cds	12434	14092	+	KEBBGD_00013	ybjL	putative transporter	COG:COG2985, COG:R, GO:0005886, GO:0006813, GO:0008324, KEGG:K07085, RefSeq:WP_061808232.1, SO:0001217, UniParc:UPI00077C6CF8, UniRef:UniRef100_UPI00077C6CF8, UniRef:UniRef50_P60872, UniRef:UniRef90_A8G7S0
contig_1	cds	14127	15455	-	KEBBGD_00014	avtA	valine--pyruvate transaminase	COG:COG3977, COG:E, EC:2.6.1.66, KEGG:K00835, SO:0001217, UniRef:UniRef50_P09053, UniRef:UniRef90_A0A2K2ITU7
contig_1	cds	15515	17581	-	KEBBGD_00015		alpha-amylase	EC:3.2.1.1, KEGG:K01176, SO:0001217, UniRef:UniRef50_A8ARF9, UniRef:UniRef90_A0A2X4U3Y3
contig_1	cds	17743	18720	-	KEBBGD_00016	ghrB	glyoxylate/hydroxypyruvate reductase GhrB	COG:CHR, COG:COG1052, EC:1.1.1.79, EC:1.1.1.81, GO:0005829, GO:0005886, GO:0008465, GO:0016616, GO:0030267, GO:0051287, GO:0120509, RefSeq:WP_130382836.1, SO:0001217, UniParc:UPI00102C607C, UniRef:UniRef100_UPI00102C607C, UniRef:UniRef50_P37666, UniRef:UniRef90_A8G7S7
contig_1	cds	18887	20155	-	KEBBGD_00017	uhpC	Inner membrane transport protein RhmT	COG:COG2271, COG:G, RefSeq:WP_037421159.1, SO:0001217, UniParc:UPI0004E7846E, UniRef:UniRef100_UPI0004E7846E, UniRef:UniRef50_U3GDJ8, UniRef:UniRef90_A0A240A5F3
contig_1	cds	20253	21212	-	KEBBGD_00018	rbsK	Uncharacterized sugar kinase ydjH	COG:COG0524, COG:G, RefSeq:WP_130382834.1, SO:0001217, UniParc:UPI00076F3B47, UniRef:UniRef100_UPI00076F3B47, UniRef:UniRef50_A0A485ALX8, UniRef:UniRef90_A0A379ZFK1
contig_1	cds	21218	21970	-	KEBBGD_00019		Xylose isomerase	SO:0001217, UniRef:UniRef50_A0AAN5RN80, UniRef:UniRef90_S4YDD7
contig_1	cds	22157	23191	-	KEBBGD_00020	purR	Ribose operon repressor	COG:COG1609, COG:K, RefSeq:WP_082797640.1, SO:0001217, UniParc:UPI00076F381C, UniRef:UniRef100_UPI00076F381C, UniRef:UniRef50_C9Y315, UniRef:UniRef90_A0A240A6R3
contig_1	cds	23320	23982	-	KEBBGD_00021	ompA	OmpA family lipoprotein	COG:COG2885, COG:M, GO:0009279, RefSeq:WP_037421151.1, SO:0001217, UniParc:UPI0004E66BC9, UniRef:UniRef100_A0A9C7QTV7, UniRef:UniRef50_P37665, UniRef:UniRef90_A0A379ZG37
